,ATL,BOS,CLT,DEN,DFW,DTW,EWR,IAD,JFK,LAX,LGA,MIA,OAK,ORD,PHL,SFO
ATL,,137.62,290.61,106.1,42.98,157.6,177.21,108.6,327.2,256.1,63.6,238.6,457.2,46.58,188.6,517.61
BOS,213.6,,168.61,177.61,319.6,182.21,83.6,401.6,108.6,371.6,227.2,118.6,552.1,113.6,111.6,251.6
CLT,475.11,340.1,,307.1,133.11,173.08,107.1,237.1,129.1,389.11,129.1,140.1,522.8,487.04,413.7,380.11
DEN,98.6,254.61,197.6,,98.6,103.99,162.6,191.1,551.6,72.6,107.6,173.6,461.6,174.2,459.6,203.6
DFW,248.6,175.61,332.6,93.58,,298.6,211.61,127.6,110.6,292.2,215.6,232.2,87.58,317.19,278.6,168.61
DTW,148.6,158.6,257.6,177.61,105.58,,338.58,155.6,465.61,459.58,303.6,408.6,548.7,108.6,218.6,237.6
EWR,226.1,113.6,80.58,138.6,76.58,118.6,,142.2,,360.1,143.6,75.58,1376.11,111.6,152.2,167.6
IAD,275.7,97.6,160.6,256.6,230.2,486.6,248.6,,402.1,221.6,382.71,112.6,563.21,651.54,221.6,204.1
JFK,113.6,467.21,120.6,552.21,110.6,456.7,,434.11,,555.61,,98.6,1045.21,84.61,515.7,139.1
LAX,207.6,205.6,381.61,178.6,127.6,287.2,237.6,158.6,358.6,,237.2,408.6,169.6,138.6,205.6,138.6
LGA,141.6,168.6,130.6,148.6,238.6,102.6,,251.2,,140.6,,78.6,596.1,127.6,286.61,156.6
MIA,411.6,127.6,356.6,84.59,211.6,487.6,103.6,107.6,78.6,147.61,98.6,,881.29,297.6,132.61,132.61
OAK,592.7,557.1,462.7,463.2,160.58,226.98,219.59,351.7,258.6,381.61,495.08,622.7,,510.2,595.69,1267.2
ORD,177.61,153.6,111.6,128.6,253.6,231.6,96.6,103.6,200.2,202.6,198.6,188.6,517.21,,81.59,187.6
PHL,328.6,107.6,177.21,173.6,357.2,178.6,276.6,293.6,282.1,385.6,184.1,47.98,1151.7,149.6,,348.6
SFO,517.61,154.6,447.6,162.2,108.6,368.6,167.6,217.61,562.11,211.61,156.6,758.6,256.61,431.6,567.6,
