,ATL,BOS,CLT,DEN,DFW,DTW,EWR,IAD,JFK,LAX,LGA,MIA,OAK,ORD,PHL,SFO
ATL,-1.0,0.2958350792903119,0.12560965004282817,0.3882317249315183,1.0,0.2565703086929535,0.21594163387941331,0.39282065405840405,0.10633892695416061,0.14358616380357508,0.6814257000896463,0.1619256223262062,0.06642359206899648,0.8441780695018851,0.2130304493743466,0.055528293603493255
BOS,0.18358668350401613,-1.0,0.24131060013717526,0.22112551538388475,0.1102779674266023,0.21126164790465013,0.5201442917993387,0.08214641837033454,0.39502251500545454,0.08938339947953389,0.16534793328047934,0.3513487501488914,0.04942205208691439,0.37018594360612045,0.3820807832367474,0.14651918998201946
CLT,0.06384662713744532,0.10302584043530016,-1.0,0.11752659530195857,0.29543552254874145,0.2288724693940327,0.38609887173540025,0.16005841404654034,0.3186704839546055,0.08480708193698995,0.31540262763403826,0.29754407008150013,0.05617610806489193,0.06130521098407293,0.07757827302286091,0.08824106833216933
DEN,0.4302430143054385,0.14834951303363003,0.19449754249256665,-1.0,0.43447367756468175,0.38852195252319754,0.24076509417484665,0.20218385861190274,0.05025692326803472,0.5924755517077355,0.3749795588155018,0.22913653336852446,0.06651615849342316,0.2057663806325801,0.0673461441816392,0.19237703809392495
DFW,0.15398796207482895,0.2264332093631332,0.10671542326903742,0.4330960633427761,-1.0,0.12151252632386007,0.18536446599670842,0.3227635465180067,0.3657293403263191,0.1179493802470133,0.18128579675546452,0.1575889308947153,0.4687266391760369,0.11072474647774068,0.133341169689182,0.2391836814446841
DTW,0.2784612944956311,0.2595556531088501,0.14456068931194083,0.22309617567697707,0.3819706069958123,-1.0,0.10102839133527507,0.2659368177999589,0.06630422044256642,0.06623259209312109,0.12035122378155995,0.07960430692976779,0.049092240927735974,0.39411311979424984,0.17996731362410928,0.1582787244903862
EWR,0.17029804923460198,0.37545332598025133,0.48890372555213196,0.2952284421669563,0.5307945145555868,0.35683445487449833,-1.0,0.2739034032363101,-1.0,0.09328571654840098,0.2909540736066956,0.5437216745998172,0.0,0.3721014998600231,0.25573695902942717,0.23125836282940676
IAD,0.13109684101789676,0.4223749606362421,0.25663001725474605,0.1447410791226091,0.16023153370344323,0.06170211161104669,0.1519014559177203,-1.0,0.08147438295536368,0.16912502813391836,0.08621840022085989,0.360542531126446,0.047889371680365236,0.03719478685525753,0.17318456919361216,0.18667483086767106
JFK,0.3716936533696315,0.06511556094418365,0.34433720407495033,0.0498569801129585,0.3698396013617177,0.0664627339361785,-1.0,0.07355761331095133,-1.0,0.049545855211371045,-1.0,0.42902659150691563,0.010541945913337078,0.48479683936015416,0.05489029563060916,0.2803713920017598
LAX,0.18627973631728012,0.18365362491146214,0.08810410553413507,0.2263277651487918,0.31941971839527866,0.12216432875250009,0.1585141263667316,0.24810861452919972,0.09554396575419684,-1.0,0.15529543015731723,0.07911461745609838,0.23178169586936137,0.29622789530789934,0.18535766423631844,0.302354481225118
LGA,0.287007778997426,0.24297104744607875,0.3171815096554184,0.27370242859051036,0.1602715283073577,0.4053553214585817,-1.0,0.1475845178135189,-1.0,0.2820575834740443,-1.0,0.5413465956126202,0.04356642285611537,0.3276914121288619,0.12745720237345093,0.2508929769312138
MIA,0.07862913801770652,0.3183628986409481,0.0953546867997377,0.49560383406852176,0.17903310156241573,0.06152158494442074,0.3899409582080054,0.3825098020228369,0.5439342674681937,0.26246001961437126,0.4298621959097887,-1.0,0.01958025932656982,0.12164929481201774,0.3051537358440958,0.29532044572536725
OAK,0.043828043651067454,0.04875779089536114,0.06408219411423606,0.06609034906675185,0.25038316568272406,0.16686457986936026,0.17552531091897058,0.0933772805501141,0.14122291619641839,0.087138366421453,0.05784999149299313,0.03960607446286705,-1.0,0.05650124052886473,0.04296820293599399,0.0030904848415327225
ORD,0.21970705424005935,0.2626652314162827,0.3601026373008672,0.32466388973616733,0.14738671679783502,0.1683987117935997,0.4437351088629178,0.38968686542523734,0.1916189490779261,0.19354207564823658,0.20061714286686835,0.2089158836586689,0.05519047997776484,-1.0,0.4787003080610214,0.20621420990870343
PHL,0.10854969389554238,0.3795856082633106,0.21702827746526737,0.22604062381364998,0.09376790378984078,0.22733777643413267,0.132838259344495,0.12360720058072946,0.12850991150378926,0.08552167441174263,0.20843715120105274,0.8913298338728716,0.006402522433718694,0.27157492003739436,-1.0,0.09877402372221303
SFO,0.05599699596770671,0.2601968162568956,0.06984825488626521,0.2403919772853698,0.3724517360846562,0.09240546723384539,0.23509352924283622,0.17335762392367582,0.04802904324991913,0.18305929159876455,0.2538792979001453,0.027497104733583314,0.14637425978555146,0.07368264469880141,0.048089795156402125,-1.0
